length_of_scraped_items,total_kept_items,total_dropped_items,keep_rate_%,drop_rate_%
1,0,0,0.0,0.0
10,4,1,40.0,10.0
15,10,4,66.67,26.67
1,0,0,0.0,0.0
10,7,1,70.0,10.0
10,2,7,20.0,70.0
10,7,2,70.0,20.0
10,6,2,60.0,20.0
0,0,0,0.0,0.0
15,11,4,73.33,26.67
10,5,4,50.0,40.0
15,8,4,53.33,26.67
10,8,2,80.0,20.0
15,8,2,53.33,13.33
15,13,1,86.67,6.67
15,10,2,66.67,13.33
10,6,2,60.0,20.0
10,6,2,60.0,20.0
15,7,8,46.67,53.33
10,6,3,60.0,30.0
10,8,1,80.0,10.0
10,6,3,60.0,30.0
1,0,0,0.0,0.0
10,4,5,40.0,50.0
15,9,2,60.0,13.33
15,5,5,33.33,33.33
10,5,4,50.0,40.0
10,7,2,70.0,20.0
10,6,4,60.0,40.0
15,11,4,73.33,26.67
15,8,3,53.33,20.0
15,6,8,40.0,53.33
15,12,3,80.0,20.0
15,6,8,40.0,53.33
10,5,1,50.0,10.0
15,7,6,46.67,40.0
15,11,2,73.33,13.33
10,6,1,60.0,10.0
10,6,4,60.0,40.0
10,7,3,70.0,30.0
